latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
36.27822,-104.96181,314.67,2.63,1.56,2022-04-22,0531,T,90,6.1NRT,283.33,63.31,N
36.2944,-104.93137,317.27,2.64,1.56,2022-04-22,0531,T,95,6.1NRT,283.52,71.59,N
36.29216,-104.96366,334.85,2.63,1.56,2022-04-22,0531,T,100,6.1NRT,284.37,153.14,N
36.30392,-104.99654,310.38,2.62,1.55,2022-04-22,0531,T,65,6.1NRT,282.5,48.04,N
36.31789,-104.99758,302.6,2.62,1.55,2022-04-22,0531,T,32,6.1NRT,281.31,29.76,N
36.29937,-104.93939,313.73,2.64,1.56,2022-04-22,0531,T,70,6.1NRT,283.13,57.38,N
36.29734,-104.97155,310.39,2.63,1.56,2022-04-22,0531,T,74,6.1NRT,282.99,47.73,N
36.29535,-105.00285,303.67,2.62,1.55,2022-04-22,0531,T,18,6.1NRT,282.84,30.3,N
36.30928,-105.00438,311.57,2.62,1.55,2022-04-22,0531,T,83,6.1NRT,281.36,52.85,N
18.46354,-102.40971,301.36,2.37,1.49,2022-04-22,0527,T,40,6.1NRT,290.67,14.85,N
18.39589,-103.01878,310.28,2.12,1.42,2022-04-22,0527,T,80,6.1NRT,290.93,29.86,N
18.39619,-103.0263,309.98,2.12,1.42,2022-04-22,0527,T,79,6.1NRT,290.58,29.6,N
20.80474,-102.94611,316.52,2.33,1.48,2022-04-22,0527,T,93,6.1NRT,288.98,53.28,N
21.03687,-103.82196,304.78,2.02,1.38,2022-04-22,0529,T,62,6.1NRT,292.88,14.87,N
21.43054,-104.26972,300.45,1.9,1.35,2022-04-22,0529,T,28,6.1NRT,286.66,13.19,N
22.40432,-104.58267,303.61,1.86,1.33,2022-04-22,0529,T,18,6.1NRT,293.58,10.29,N
22.59944,-104.16769,300.92,2,1.38,2022-04-22,0529,T,30,6.1NRT,289.72,11.65,N
22.59712,-104.18988,316.47,2,1.38,2022-04-22,0529,T,93,6.1NRT,289.05,42.5,N
23.50535,-105.59013,312.81,1.63,1.26,2022-04-22,0529,T,86,6.1NRT,291.8,23.97,N
18.9327,-70.35135,304.62,1.15,1.07,2022-04-22,0640,A,61,6.1NRT,276.31,11.35,N
46.58334,-80.78188,309.31,2.04,1.39,2022-04-22,0809,A,77,6.1NRT,272.4,39.62,N
46.58296,-80.78967,303.31,2.04,1.39,2022-04-22,0809,A,54,6.1NRT,272.09,30.82,N
36.2969,-104.97163,303.53,4.03,1.86,2022-04-22,0813,A,46,6.1NRT,281.14,60.58,N
36.29517,-104.93163,327.18,4,1.86,2022-04-22,0813,A,100,6.1NRT,283.14,210.3,N
36.30737,-104.97531,301.28,4.03,1.86,2022-04-22,0813,A,40,6.1NRT,280.72,54.07,N
36.30541,-104.93575,301.06,4,1.86,2022-04-22,0813,A,28,6.1NRT,282.07,52.4,N
36.28867,-104.93613,323.97,4,1.86,2022-04-22,0813,A,100,6.1NRT,282.56,183.31,N
26.89007,-101.44974,305.46,1.79,1.31,2022-04-22,0818,A,64,6.1NRT,293.31,13.46,N
22.26577,-97.80674,305.33,1.03,1.01,2022-04-22,0820,A,64,6.1NRT,294.71,5.25,N
21.42711,-104.24731,314.62,2.41,1.5,2022-04-22,0820,A,90,6.1NRT,286.51,54.28,N
21.43294,-104.25317,310.93,2.41,1.5,2022-04-22,0820,A,81,6.1NRT,285.71,43.92,N
21.03289,-103.81367,302.83,2.2,1.44,2022-04-22,0820,A,52,6.1NRT,289.38,18.01,N
21.03523,-103.82131,300.26,2.2,1.44,2022-04-22,0820,A,15,6.1NRT,289.65,12.66,N
19.29347,-92.16405,305.75,1.72,1.29,2022-04-22,0820,A,31,6.1NRT,291.73,12.45,N
17.93907,-91.03216,300.84,2.22,1.44,2022-04-22,0820,A,34,6.1NRT,290.25,10.58,N
18.20285,-94.00751,313.44,1.35,1.15,2022-04-22,0820,A,87,6.1NRT,293.42,17.39,N
18.20073,-93.99495,303.93,1.35,1.15,2022-04-22,0820,A,58,6.1NRT,293,7.37,N
17.89379,-92.48269,306.99,1.74,1.29,2022-04-22,0820,A,70,6.1NRT,293.23,13.46,N
18.09916,-94.05166,314.29,1.35,1.15,2022-04-22,0820,A,89,6.1NRT,293.44,18.69,N
18.09711,-94.03914,329.83,1.35,1.15,2022-04-22,0820,A,100,6.1NRT,293.9,43.72,N
17.90044,-93.19173,315.78,1.55,1.23,2022-04-22,0820,A,92,6.1NRT,293.77,24.18,N
17.89796,-93.17733,341.53,1.55,1.23,2022-04-22,0820,A,100,6.1NRT,294.45,85.37,N
17.9212,-93.37733,303.39,1.5,1.21,2022-04-22,0820,A,55,6.1NRT,292.74,8.69,N
17.88955,-93.19377,304.32,1.55,1.23,2022-04-22,0820,A,59,6.1NRT,293.36,9.32,N
17.90995,-93.52808,309.94,1.47,1.2,2022-04-22,0820,A,79,6.1NRT,292.94,15.35,N
17.90767,-93.51445,324.68,1.47,1.2,2022-04-22,0820,A,100,6.1NRT,293.23,38.64,N
17.84143,-93.12025,328.62,1.57,1.23,2022-04-22,0820,A,100,6.1NRT,293.71,50.64,N
17.83896,-93.10565,323.84,1.57,1.24,2022-04-22,0820,A,100,6.1NRT,293.45,40.23,N
17.98087,-94.52298,321.05,1.27,1.12,2022-04-22,0820,A,100,6.1NRT,295.89,24.94,N
17.93752,-99.67599,300.68,1.09,1.04,2022-04-22,0820,A,26,6.1NRT,289.47,4.07,N
18.13925,-101.64987,322.53,1.4,1.17,2022-04-22,0820,A,100,6.1NRT,288.65,34.84,N
17.99598,-101.00925,301.22,1.28,1.12,2022-04-22,0820,A,39,6.1NRT,289,5.52,N
19.40604,-155.28606,374.84,1.38,1.16,2022-04-22,0845,T,100,6.1NRT,289.32,218.19,N
19.40442,-155.29936,327.29,1.38,1.16,2022-04-22,0845,T,100,6.1NRT,283.41,44.12,N
36.29304,-104.95984,307.86,4.41,1.93,2022-04-22,0952,A,73,6.1NRT,282.08,94.87,N
36.2792,-104.9078,301.51,4.44,1.94,2022-04-22,0952,A,25,6.1NRT,279.58,63.2,N
36.30638,-104.9571,302.62,4.41,1.93,2022-04-22,0952,A,25,6.1NRT,282.2,64.49,N
36.29036,-104.96562,303.54,4.41,1.93,2022-04-22,0952,A,49,6.1NRT,281.76,70.94,N
35.41751,-111.49299,303.39,1.82,1.32,2022-04-22,0952,A,54,6.1NRT,283.09,18.98,N
35.41364,-111.47399,312.99,1.83,1.32,2022-04-22,0952,A,86,6.1NRT,283.33,34.63,N
35.40611,-111.49721,331.05,1.82,1.32,2022-04-22,0952,A,100,6.1NRT,283.64,78.48,N
35.40237,-111.47891,318.33,1.83,1.32,2022-04-22,0952,A,97,6.1NRT,282.29,44.74,N
35.34248,-111.58702,313.54,1.81,1.32,2022-04-22,0952,A,87,6.1NRT,279.49,37.68,N
35.33814,-111.56562,306.93,1.81,1.32,2022-04-22,0952,A,70,6.1NRT,280.8,25.99,N
35.33094,-111.59024,324.61,1.81,1.32,2022-04-22,0952,A,100,6.1NRT,278.8,63.09,N
35.32663,-111.56907,309.98,1.81,1.32,2022-04-22,0952,A,79,6.1NRT,279.39,31.51,N
43.17469,-78.22162,302.02,1.11,1.05,2022-04-22,1554,T,48,6.1NRT,290.11,4.11,D
42.59069,-76.82244,325.22,1.02,1.01,2022-04-22,1554,T,84,6.1NRT,290.79,23.03,D
42.80762,-80.09428,302.11,1.3,1.13,2022-04-22,1554,T,0,6.1NRT,289.92,5.59,D
41.20051,-75.94218,306.81,1,1,2022-04-22,1554,T,52,6.1NRT,293.31,3.96,D
41.12835,-75.89355,305.68,1,1,2022-04-22,1554,T,57,6.1NRT,291.8,3.8,D
41.08601,-75.67286,303.92,1,1,2022-04-22,1554,T,41,6.1NRT,291.29,3.91,D
40.89302,-74.72787,309.96,1.04,1.02,2022-04-22,1554,T,62,6.1NRT,295.66,6.46,D
40.4442,-74.24971,312.19,1.08,1.04,2022-04-22,1554,T,65,6.1NRT,297.63,7.34,D
40.44215,-74.23728,316.69,1.08,1.04,2022-04-22,1554,T,72,6.1NRT,297.39,11.42,D
40.10655,-74.12746,314.74,1.09,1.04,2022-04-22,1554,T,69,6.1NRT,298.85,8.66,D
40.09032,-74.81257,307.15,1.05,1.02,2022-04-22,1554,T,23,6.1NRT,295.15,3.2,D
40.25805,-76.25999,306.76,1,1,2022-04-22,1554,T,52,6.1NRT,290.56,4.79,D
39.58596,-75.25783,311.81,1.03,1.02,2022-04-22,1554,T,65,6.1NRT,295.51,7.52,D
38.47689,-76.8386,310.25,1,1,2022-04-22,1554,T,64,6.1NRT,296.28,5.94,D
